Quan,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Gan_Metro_Bus,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Tinh_trang_ngap,Noi_that,Tinh_trang_Dien_Nuoc,Tuoi_nha_nam,Gia_ban_ty
Hai Bà Trưng,4.72,77,3.5,4,7,1,1.7,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,5,17.89
Nam Từ Liêm,12.58,83,6.0,3,1,2,7.5,Đường đất,1,1,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,26,13.56
Hoàng Mai,9.97,89,9.1,2,4,1,6.7,Đường đất,1,1,0,1,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,29,14.78
Long Biên,7.86,52,8.6,1,2,3,8.8,Đường đất,1,1,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,20,10.47
Đống Đa,3.6,135,5.0,1,2,2,1.6,Đường bê tông,0,0,0,0,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,29,28.96
Cầu Giấy,7.66,47,9.9,2,4,5,2.7,Đường bê tông,0,0,0,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,12,9.69
Hoàng Mai,11.07,82,7.1,7,13,7,7.5,Đường bê tông,1,1,1,1,Thấp,Tốt,1,Không ngập,Full cao cấp,Tốt,7,11.89
Hoàng Mai,8.33,74,6.7,5,4,3,5.8,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,23,13.38
Long Biên,4.38,38,6.9,6,6,5,1.8,Đường bê tông,0,0,1,1,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,10,6.09
Nam Từ Liêm,12.11,77,5.0,2,2,3,3.3,Đường bê tông,0,0,0,1,Cao,Bình thường,0,Ngập nhẹ,Nhà trống,Hay hỏng,10,9.92
Long Biên,9.17,76,7.1,2,2,1,10.3,Đường bê tông,1,1,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,13,18.31
Bắc Từ Liêm,17.0,73,5.1,1,1,1,8.4,Đường nhựa,1,1,0,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,13,8.66
Hà Đông,15.82,119,6.2,3,6,7,6.6,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Tốt,22,15.93
Hoàng Mai,11.57,83,4.7,7,10,5,6.1,Đường nhựa,1,1,1,0,Thấp,Tốt,0,Ngập nhẹ,Cơ bản,Tốt,7,13.7
Cầu Giấy,7.85,32,9.9,7,6,6,10.0,Đường nhựa,1,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,28,9.44
Thanh Xuân,8.66,25,6.1,8,14,7,2.0,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,23,4.99
Cầu Giấy,7.67,25,3.9,5,10,8,8.3,Đường nhựa,1,0,1,0,Cao,Bình thường,0,Ngập nhẹ,Nhà trống,Tốt,4,6.74
Long Biên,5.2,25,5.7,3,5,6,3.1,Đường bê tông,0,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,17,3.43
Hoàng Mai,9.52,75,10.0,7,10,4,4.5,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Ngập sâu,Cơ bản,Tốt,26,9.21
Hai Bà Trưng,2.47,79,3.9,1,2,2,2.7,Đường bê tông,0,0,0,1,Trung bình,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,27,20.52
Tây Hồ,8.0,38,3.5,6,10,2,3.1,Đường bê tông,0,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,23,10.15
Hoàn Kiếm,1.77,72,8.0,6,1,1,7.5,Đường bê tông,1,1,1,0,Thấp,Tốt,1,Không ngập,Cơ bản,Tốt,27,26.67
Hoàn Kiếm,0.46,55,8.3,8,16,6,9.2,Đường đất,1,1,1,0,Trung bình,Bình thường,0,Ngập nhẹ,Cơ bản,Tốt,5,30.66
Hai Bà Trưng,4.81,25,5.9,3,4,5,5.8,Đường nhựa,1,0,1,1,Trung bình,Kém (Hay mất trộm),1,Không ngập,Đồ gỗ xịn,Tốt,26,4.96
Cầu Giấy,7.34,58,7.4,2,3,3,4.8,Đường nhựa,1,1,0,1,Trung bình,Tốt,0,Không ngập,Cơ bản,Hay hỏng,23,16.89
Ba Đình,2.84,34,9.5,7,5,5,4.0,Đường bê tông,1,0,1,1,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,7,14.7
Hoàn Kiếm,1.77,61,9.8,3,3,4,9.1,Đường đất,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,30,30.8
Đống Đa,3.79,77,6.5,8,10,5,8.8,Đường nhựa,1,1,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,7,24.1
Hoàng Mai,7.97,87,4.9,8,1,2,8.1,Đường nhựa,1,1,1,0,Thấp,Bình thường,0,Không ngập,Full cao cấp,Tốt,23,17.6
Cầu Giấy,8.14,76,5.6,2,2,2,6.1,Đường bê tông,1,1,0,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,1,20.77
Hoàn Kiếm,0.16,85,7.5,2,1,1,9.5,Đường nhựa,1,1,0,0,Trung bình,Bình thường,0,Ngập nhẹ,Full cao cấp,Hay hỏng,19,55.44
Đống Đa,3.85,85,5.4,7,6,6,1.6,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Ngập nhẹ,Full cao cấp,Tốt,24,21.84
Hai Bà Trưng,3.76,79,8.5,5,6,5,2.8,Đường bê tông,0,0,1,0,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,21,17.46
Tây Hồ,4.78,45,6.3,6,2,3,3.7,Đường bê tông,0,0,1,0,Trung bình,Tốt,0,Ngập nhẹ,Nhà trống,Tốt,6,13.23
Long Biên,13.04,25,4.0,5,10,2,2.9,Đường bê tông,0,0,1,1,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,18,3.5
Ba Đình,4.67,27,4.1,1,1,1,5.8,Đường bê tông,1,0,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,1,7.67
Thanh Xuân,9.83,56,6.9,2,2,3,4.1,Đường nhựa,1,1,0,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,15,12.96
Đống Đa,5.18,28,7.0,3,4,1,9.1,Đường bê tông,1,0,1,1,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,9,9.05
Đống Đa,4.16,119,7.5,6,7,8,9.2,Đường nhựa,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Hay hỏng,20,35.6
Đống Đa,3.13,89,6.2,5,4,2,2.4,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Full cao cấp,Tốt,24,22.57
Hoàng Mai,9.81,54,5.3,2,4,5,5.1,Đường nhựa,1,1,0,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,21,9.94
Hai Bà Trưng,4.71,91,8.2,3,5,5,7.0,Đường đất,1,1,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,28,28.88
Hoàng Mai,7.41,79,6.7,8,8,9,3.3,Đường bê tông,0,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,28,9.23
Hà Đông,18.07,88,5.3,8,2,3,2.8,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,7,8.25
Nam Từ Liêm,14.51,25,9.9,4,2,1,5.9,Đường đất,1,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,21,3.26
Ba Đình,3.89,42,4.2,5,10,7,11.7,Đường đất,1,0,1,0,Trung bình,Tốt,0,Không ngập,Nhà trống,Hay hỏng,30,11.51
Nam Từ Liêm,11.41,44,8.5,5,6,2,5.7,Đường đất,1,0,1,1,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,19,8.26
Thanh Xuân,6.88,62,3.0,3,3,3,11.1,Đường nhựa,1,0,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,23,15.48
Hoàng Mai,5.88,72,8.4,6,8,3,8.9,Đường nhựa,1,1,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Hay hỏng,12,14.95
Cầu Giấy,8.87,101,8.2,5,8,7,11.7,Đường đất,1,1,1,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Full cao cấp,Tốt,20,28.58
Hoàng Mai,8.93,36,4.2,8,12,7,4.4,Đường đất,1,0,1,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,30,5.25
Thanh Xuân,9.8,25,6.4,6,7,7,3.7,Đường đất,0,0,1,1,Cao,Bình thường,1,Không ngập,Nhà trống,Tốt,2,2.44
Đống Đa,4.1,123,7.1,6,9,4,7.5,Đường bê tông,1,1,1,0,Cao,Tốt,1,Không ngập,Đồ gỗ xịn,Hay hỏng,23,25.94
Hai Bà Trưng,2.37,69,5.5,2,1,2,1.6,Đường bê tông,0,0,0,1,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Tốt,0,17.67
Bắc Từ Liêm,12.48,85,7.4,2,3,2,11.6,Đường bê tông,1,1,0,0,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,21,12.0
Tây Hồ,4.45,62,3.8,4,7,8,7.9,Đường đất,1,0,1,1,Cao,Kém (Hay mất trộm),1,Không ngập,Cơ bản,Tốt,13,17.41
Thanh Xuân,7.67,26,4.4,6,6,7,8.6,Đường bê tông,1,0,1,1,Thấp,Tốt,0,Không ngập,Nhà trống,Tốt,0,6.66
Tây Hồ,4.84,71,5.0,7,5,3,7.0,Đường nhựa,1,1,1,0,Thấp,Tốt,0,Không ngập,Nhà trống,Hay hỏng,21,28.37
Ba Đình,3.95,45,8.5,3,1,1,3.5,Đường bê tông,0,0,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,28,14.67
Hoàng Mai,8.81,63,7.7,7,11,8,3.8,Đường đất,0,0,1,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,8,6.24
Nam Từ Liêm,10.53,25,4.3,2,3,4,10.7,Đường bê tông,1,0,0,1,Cao,Tốt,1,Không ngập,Nhà trống,Tốt,6,3.12
Đống Đa,3.35,114,4.2,1,2,3,6.7,Đường đất,1,0,0,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,24,31.49
Long Biên,6.72,34,4.7,8,2,2,4.6,Đường nhựa,1,0,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,21,6.3
Hai Bà Trưng,4.55,59,7.9,2,3,2,2.5,Đường bê tông,0,0,0,0,Cao,Kém (Hay mất trộm),1,Không ngập,Nhà trống,Tốt,21,9.06
Tây Hồ,7.2,85,9.8,2,3,1,8.0,Đường nhựa,1,1,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,0,33.54
Cầu Giấy,7.81,87,8.5,4,8,7,7.5,Đường bê tông,1,1,1,0,Thấp,Tốt,0,Không ngập,Nhà trống,Tốt,10,22.57
Hoàn Kiếm,0.15,78,8.8,1,1,2,11.4,Đường đất,1,1,0,1,Thấp,Tốt,0,Ngập nhẹ,Full cao cấp,Tốt,6,61.66
Hà Đông,13.09,45,4.6,3,2,3,4.7,Đường bê tông,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,9,6.82
Hà Đông,16.91,72,5.3,2,3,3,6.9,Đường bê tông,1,1,0,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,16,11.62
Bắc Từ Liêm,11.93,25,3.3,1,2,2,11.0,Đường nhựa,1,0,0,1,Thấp,Tốt,0,Không ngập,Full cao cấp,Tốt,2,3.8
Ba Đình,4.22,26,7.1,8,13,10,7.8,Đường nhựa,1,0,1,0,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,18,7.88
Hai Bà Trưng,2.67,53,5.4,1,2,2,9.8,Đường đất,1,1,0,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Tốt,24,16.22
Đống Đa,4.42,46,9.7,2,3,3,2.0,Đường bê tông,0,0,0,0,Thấp,Bình thường,0,Không ngập,Full cao cấp,Tốt,29,10.92
Đống Đa,5.27,49,4.9,2,3,4,11.1,Đường nhựa,1,1,0,1,Trung bình,Bình thường,0,Ngập nhẹ,Đồ gỗ xịn,Tốt,7,15.28
Thanh Xuân,7.33,73,4.6,4,2,2,7.2,Đường bê tông,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Hay hỏng,18,18.67
Cầu Giấy,8.86,97,6.0,6,11,5,5.4,Đường đất,1,1,1,1,Thấp,Tốt,0,Không ngập,Nhà trống,Tốt,24,27.83
Hà Đông,13.68,30,8.5,6,11,2,2.2,Đường bê tông,0,0,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Hay hỏng,10,3.28
Nam Từ Liêm,14.93,59,6.4,3,6,3,9.2,Đường nhựa,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,13,9.22
Bắc Từ Liêm,15.91,58,8.7,8,5,1,4.6,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,9,7.57
Đống Đa,3.2,108,7.5,8,1,2,9.4,Đường đất,1,1,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,11,42.11
Thanh Xuân,8.0,66,6.2,5,3,1,4.0,Đường nhựa,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,24,14.68
Bắc Từ Liêm,10.66,28,6.0,1,1,1,10.8,Đường đất,1,0,0,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,27,3.88
Hoàng Mai,10.91,25,3.8,2,4,5,1.8,Đường bê tông,0,0,0,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,8,2.95
Thanh Xuân,9.97,43,8.1,5,9,5,1.8,Đường bê tông,0,0,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,7,6.64
Hà Đông,18.2,57,7.2,6,4,2,5.4,Đường nhựa,1,1,1,1,Cao,Tốt,0,Ngập sâu,Cơ bản,Hay hỏng,11,6.38
Cầu Giấy,8.72,113,9.5,6,10,1,7.7,Đường nhựa,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Ngập sâu,Full cao cấp,Hay hỏng,14,28.33
Cầu Giấy,6.35,81,3.6,6,5,6,10.2,Đường bê tông,1,0,1,1,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,1,26.44
Hai Bà Trưng,3.24,65,6.9,8,3,4,8.1,Đường bê tông,1,1,1,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,3,24.31
Hà Đông,13.26,57,4.8,4,7,1,2.4,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Hay hỏng,30,7.04
Hoàn Kiếm,1.24,54,3.8,2,2,3,7.6,Đường đất,1,0,0,1,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,29,30.95
Hoàng Mai,7.08,57,4.4,4,6,2,5.1,Đường nhựa,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,11,9.67
Hoàng Mai,7.01,36,3.6,2,4,5,3.3,Đường bê tông,0,0,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,18,5.41
Cầu Giấy,8.54,105,7.3,7,4,1,8.5,Đường bê tông,1,1,1,0,Thấp,Bình thường,0,Ngập sâu,Cơ bản,Tốt,14,22.2
Cầu Giấy,8.69,32,6.0,7,9,3,3.0,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,24,5.66
Nam Từ Liêm,14.02,30,7.5,8,3,1,11.9,Đường bê tông,1,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Hay hỏng,24,4.51
Ba Đình,3.06,70,6.8,1,2,3,11.6,Đường đất,1,1,0,0,Trung bình,Tốt,0,Không ngập,Nhà trống,Hay hỏng,12,22.61
Hoàn Kiếm,1.91,52,3.3,1,2,2,5.4,Đường đất,1,0,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,25,29.6
Cầu Giấy,6.11,42,3.1,5,9,5,11.3,Đường nhựa,1,0,1,0,Trung bình,Tốt,1,Không ngập,Đồ gỗ xịn,Tốt,26,7.51
Ba Đình,4.98,74,6.5,2,3,2,10.1,Đường bê tông,1,1,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,10,29.5
Thanh Xuân,7.37,60,8.0,4,1,1,2.6,Đường bê tông,0,0,1,1,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,5,13.07
Hoàng Mai,7.43,28,3.8,7,11,7,10.8,Đường bê tông,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,10,4.04
Hai Bà Trưng,3.85,48,5.5,2,3,2,7.9,Đường nhựa,1,1,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,14,13.21
Thanh Xuân,8.94,34,4.5,5,10,11,6.2,Đường nhựa,1,0,1,1,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,17,7.47
Thanh Xuân,6.83,25,4.0,8,4,5,8.6,Đường đất,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,2,4.76
Ba Đình,3.04,68,3.2,8,16,8,8.5,Đường nhựa,1,0,1,0,Thấp,Bình thường,0,Không ngập,Full cao cấp,Hay hỏng,10,27.6
Ba Đình,3.33,75,7.8,2,2,2,8.7,Đường bê tông,1,1,0,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,22,28.55
Bắc Từ Liêm,10.91,35,9.1,4,4,5,2.9,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,19,4.04
Cầu Giấy,6.92,25,9.9,7,9,8,7.7,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,15,6.33
Cầu Giấy,8.46,84,3.8,5,4,4,2.8,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,30,20.31
Hoàng Mai,11.97,66,8.5,3,4,4,7.2,Đường nhựa,1,1,1,0,Trung bình,Rất tốt (VIP),0,Ngập nhẹ,Full cao cấp,Tốt,25,13.72
Nam Từ Liêm,13.05,105,8.1,5,5,1,5.4,Đường đất,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Ngập sâu,Nhà trống,Tốt,8,11.58
Đống Đa,4.79,83,9.1,1,2,1,7.0,Đường đất,1,1,0,1,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,2,32.5
Cầu Giấy,7.47,70,5.5,8,1,2,8.1,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,5,18.09
Hoàn Kiếm,0.31,65,7.2,6,10,6,11.0,Đường đất,1,1,1,0,Thấp,Bình thường,0,Không ngập,Full cao cấp,Tốt,22,40.03
Hai Bà Trưng,4.04,90,4.9,6,11,1,4.8,Đường bê tông,1,1,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Hay hỏng,25,28.08
Ba Đình,3.87,105,10.0,2,2,3,9.6,Đường bê tông,1,1,0,0,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,23,40.23
Nam Từ Liêm,11.69,54,4.7,4,8,5,10.6,Đường bê tông,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,13,8.79
Ba Đình,4.37,58,4.4,7,6,6,10.0,Đường đất,1,0,1,1,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,24,23.37
Hoàn Kiếm,0.52,61,3.0,1,2,3,7.1,Đường đất,1,0,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,3,37.39
Bắc Từ Liêm,10.65,98,5.9,3,6,6,9.8,Đường đất,1,1,1,1,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,13,15.77
Hà Đông,15.77,67,6.9,4,1,2,4.1,Đường đất,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,13,8.98
Thanh Xuân,9.82,113,4.6,8,16,9,9.9,Đường bê tông,1,1,1,0,Trung bình,Tốt,1,Không ngập,Full cao cấp,Tốt,10,18.52
Tây Hồ,7.67,107,5.9,4,3,3,8.8,Đường đất,1,1,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Cơ bản,Hay hỏng,16,34.3
Ba Đình,4.3,35,6.5,3,1,1,4.3,Đường đất,1,0,1,1,Thấp,Tốt,0,Không ngập,Nhà trống,Tốt,10,11.97
Nam Từ Liêm,15.82,68,7.5,2,1,2,5.0,Đường đất,1,1,0,1,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Tốt,28,10.86
Cầu Giấy,6.07,39,5.4,2,3,1,9.3,Đường đất,1,0,0,0,Cao,Tốt,1,Không ngập,Full cao cấp,Tốt,3,6.98
Tây Hồ,7.39,84,3.8,6,7,5,11.4,Đường nhựa,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,3,34.07
Ba Đình,4.37,126,5.4,4,3,3,3.7,Đường đất,0,0,1,1,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,17,29.64
Ba Đình,3.29,25,5.5,8,2,3,2.2,Đường bê tông,0,0,1,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,29,6.24
Thanh Xuân,9.65,65,7.9,8,16,7,5.8,Đường nhựa,1,1,1,1,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,28,21.22
Cầu Giấy,8.3,64,6.3,1,2,3,1.6,Đường bê tông,0,0,0,1,Cao,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Hay hỏng,22,13.7
Hoàn Kiếm,1.27,77,7.8,7,1,1,5.2,Đường nhựa,1,1,1,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,7,45.8
Đống Đa,3.26,91,4.1,1,2,2,5.2,Đường nhựa,1,0,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,24,30.35
Đống Đa,5.77,76,9.4,2,1,2,7.1,Đường bê tông,1,1,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,9,23.7
