Quan_Huyen,Dac_diem_khu_vuc,Loai_dat,Loai_duong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Tuoi_nha_nam,O_to_vao,Co_Gara,Co_San_thuong,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gia_ban_ty
Sóc Sơn,Trong lang xom,Full tho cu,Duong nhua,Nam,Chờ sổ,Cao,Bình thường,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,27.75,110,6.3,3,4,5,5.3,8,1,1,1,0,1,3.99
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Thap,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Nat/Can dap di,7.71,45,10.6,6,5,4,12.8,16,1,0,1,0,0,9.67
Hoài Đức,Khu dan cu,Full tho cu,Duong be tong,Nam,Chờ sổ,Cao,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,18.13,68,7.4,3,2,1,2.3,11,0,0,1,0,0,4.47
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Bắc,Chờ sổ,Thap,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,3.53,20,7.0,7,11,3,11.2,13,1,0,1,0,0,6.39
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Vi bằng,Thap,Bình thường,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,0.0,55,3.5,5,1,2,7.0,15,1,0,1,0,0,28.470000000000006
Đông Anh,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Tây,Chờ sổ,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,14.14,88,6.8,2,4,2,10.3,5,1,1,1,0,0,5.5
Nam Từ Liêm,Gan KCN,Full tho cu,Duong nhua,Nam,Chờ sổ,Thap,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Can sua chua,Xuong cap nhe,13.43,50,3.6,3,6,1,6.6,22,1,0,1,0,0,7.05
Phú Xuyên,Trong lang xom,Full tho cu,Duong dat,Tây,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,44.96,124,13.1,2,3,1,2.0,29,0,0,1,0,0,2.34
Phúc Thọ,Gan lang nghe,Full tho cu,Duong dat,Đông Bắc,Vi bằng,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Can sua chua,Xuong cap nhe,33.27,113,9.3,1,2,1,2.6,21,0,0,0,0,0,2.17
Chương Mỹ,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,26.7,76,7.0,1,1,2,13.9,0,1,1,0,0,0,3.98
Mỹ Đức,Mat duong Quoc lo,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,49.97,131,11.5,3,3,4,6.0,22,1,1,1,0,0,3.86
Phúc Thọ,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông Bắc,Hợp đồng mua bán,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,38.72,134,8.2,3,6,7,7.9,2,1,1,1,0,0,6.95
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Vi bằng,Thap,Tốt,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,5.14,72,9.6,8,11,10,10.7,18,1,1,1,0,0,21.38
Hoài Đức,Khu dau gia,Full tho cu,Duong nhua,Nam,Vi bằng,Trung binh,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,21.24,46,5.5,3,5,1,9.6,14,1,0,1,1,0,4.04
Gia Lâm,Khu dau gia,Full tho cu,Duong nhua,Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Nat/Can dap di,16.73,96,5.4,2,3,2,5.5,22,1,1,1,0,0,11.82
Mỹ Đức,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,48.41,100,13.2,2,2,3,14.2,7,1,1,1,0,0,1.13
Hoài Đức,Gan KCN,Full tho cu,Duong be tong,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,21.22,72,7.5,2,4,5,2.2,28,0,0,1,0,0,5.43
Phúc Thọ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,33.36,180,10.5,2,2,1,12.1,8,1,1,1,0,0,3.55
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Vi bằng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Hay hong,Binh thuong,11.58,71,3.2,2,4,4,12.9,16,1,0,1,0,0,11.42
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Cao,Tốt,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,3.91,20,10.2,6,2,1,6.5,28,1,0,1,0,0,6.18
Mỹ Đức,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,58.98,93,9.0,1,1,1,13.2,13,1,1,0,0,1,1.85
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Chờ sổ,Cao,Bình thường,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,9.5,63,9.5,2,4,2,13.1,0,1,1,1,0,0,16.21
Hà Đông,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,13.32,42,7.5,3,4,1,11.3,20,1,0,1,0,0,6.2
Sơn Tây,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây,Chờ sổ,Thap,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,47.39,134,13.1,3,4,5,11.5,19,1,1,1,0,0,2.63
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,4.81,67,3.6,3,5,6,4.5,3,1,0,1,0,0,17.12
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông Bắc,Hợp đồng mua bán,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,5.08,60,9.4,4,4,3,4.6,11,1,1,1,0,0,20.96
Thường Tín,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Hay hong,Xuong cap nhe,23.69,119,5.4,1,1,2,14.3,18,1,1,0,0,0,3.85
Chương Mỹ,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,36.7,106,13.1,1,1,2,6.8,12,1,1,0,1,0,3.07
Thạch Thất,Gan lang nghe,Full tho cu,Duong nhua,Tây Bắc,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,35.45,47,13.4,2,3,2,11.7,24,1,0,1,0,0,1.84
Hà Đông,Khu dan cu,Full tho cu,Duong nhua,Bắc,Chờ sổ,Thap,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,16.58,30,11.4,2,2,1,5.9,3,1,0,1,0,1,3.23
Hà Đông,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Bắc,Chờ sổ,Thap,Tốt,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Nat/Can dap di,12.34,47,8.6,3,2,3,10.0,20,1,0,1,0,0,2.79
Long Biên,Khu dan cu,Full tho cu,Duong be tong,Đông Bắc,Chờ sổ,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,10.06,41,3.9,1,2,3,4.8,7,1,0,0,0,0,8.68
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Nat/Can dap di,3.38,87,11.7,8,10,10,9.9,17,1,1,1,0,0,19.77
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Can sua chua,Nat/Can dap di,21.91,56,8.1,3,6,5,13.4,16,1,1,1,0,0,1.23
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Xuong cap nhe,49.49,172,10.6,2,3,3,10.2,22,1,1,1,0,0,3.86
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,0.0,70,11.2,2,2,2,5.8,9,1,1,1,1,0,28.470000000000006
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,7.1,23,7.0,2,4,5,14.8,17,1,0,1,1,1,1.43
Gia Lâm,Khu dau gia,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,11.6,54,5.7,3,3,2,11.5,6,1,1,1,0,0,7.85
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,7.02,94,8.2,7,9,3,12.1,7,1,1,1,0,1,21.84
Phú Xuyên,Trong lang xom,Full tho cu,Duong nhua,Tây Bắc,Chờ sổ,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,32.98,138,9.6,1,2,2,14.5,20,1,1,0,0,0,5.17
Thanh Trì,Khu dan cu,Full tho cu,Duong nhua,Tây,Vi bằng,Cao,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,15.82,65,10.6,2,4,1,13.9,22,1,1,1,0,0,4.33
Gia Lâm,Khu dan cu,Full tho cu,Duong be tong,Tây Nam,Vi bằng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Xuong cap nhe,14.07,30,7.6,3,3,2,1.7,25,0,0,1,0,0,2.42
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,8.29,84,10.9,6,9,1,9.1,6,1,1,1,0,0,19.55
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Cao,Tốt,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,2.86,74,6.6,7,11,6,6.9,10,1,1,1,0,0,22.98
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong dat,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,22.79,83,9.4,2,1,2,2.4,1,0,0,1,0,0,1.37
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Đông,Chờ sổ,Trung binh,Kém (Hay trộm cắp),Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,19.76,66,4.5,5,1,1,13.8,8,1,1,1,0,0,5.12
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,19.09,104,5.6,1,2,1,12.7,18,1,1,0,0,0,7.15
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,13.57,129,6.3,2,2,3,8.0,26,1,1,1,0,0,16.71
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Nam,Vi bằng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,24.37,114,7.1,2,2,2,13.4,15,1,1,1,0,0,9.48
Ba Vì,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,54.08,131,11.8,1,1,2,5.9,13,1,1,0,1,0,1.16
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Binh thuong,27.03,40,12.5,3,1,1,13.0,28,1,0,1,0,0,1.37
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Hợp đồng mua bán,Trung binh,Bình thường,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,3.08,54,5.3,7,11,4,8.2,9,1,1,1,0,1,17.08
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,14.4,95,8.1,5,6,3,14.7,6,1,1,1,0,0,12.75
Thanh Oai,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Đông,Vi bằng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,29.86,80,3.3,1,2,1,11.2,5,1,0,0,0,0,2.63
Đan Phượng,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Tây Nam,Vi bằng,Cao,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,20.85,44,11.8,1,1,1,11.9,12,1,0,0,0,0,2.27
Ứng Hòa,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Xuong cap nhe,48.65,139,9.4,1,2,1,14.8,18,1,1,0,0,1,2.18
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,2.12,42,9.4,5,8,1,12.6,18,1,0,1,0,0,12.49
Đông Anh,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Thap,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Nat/Can dap di,14.76,83,9.4,1,1,2,9.6,28,1,1,0,0,0,5.51
Thạch Thất,Mat duong Quoc lo,Tho cu + Dat vuon,Duong be tong,Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,26.33,154,8.4,3,6,6,3.5,30,1,1,1,1,0,5.17
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Cao,Tốt,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,4.32,30,5.7,6,11,10,12.3,1,1,0,1,0,0,11.91
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Hợp đồng mua bán,Cao,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,15.35,43,7.1,4,8,2,13.0,6,1,0,1,0,0,5.3
Mỹ Đức,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông Nam,Vi bằng,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,45.25,146,7.5,2,4,4,14.3,0,1,1,1,0,0,3.8
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Nhà trống,Hay hong,Xuong cap nhe,21.89,64,8.1,3,5,4,9.6,16,1,1,1,0,0,4.07
Thường Tín,Gan lang nghe,Full tho cu,Duong nhua,Đông Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,22.42,83,9.6,1,2,2,8.0,1,1,1,0,0,0,3.75
Phú Xuyên,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,36.42,124,13.9,2,4,2,4.8,19,1,1,1,0,0,2.51
Sơn Tây,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,48.26,107,12.3,1,2,3,6.2,4,1,1,0,0,0,2.43
Đông Anh,Khu dau gia,Full tho cu,Duong nhua,Bắc,Chờ sổ,Trung binh,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,21.75,109,9.0,5,1,2,7.2,12,1,1,1,0,0,17.69
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Bắc,Chờ sổ,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,24.34,198,9.0,1,2,1,12.8,7,1,1,0,0,0,6.9
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Chờ sổ,Trung binh,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,3.33,50,8.9,4,6,1,10.1,20,1,0,1,0,0,13.75
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,13.31,146,5.7,1,1,1,8.3,28,1,1,0,0,0,24.34
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Thap,Bình thường,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,11.64,87,7.3,7,9,9,9.7,6,1,1,1,0,0,18.81
Sóc Sơn,Gan lang nghe,Full tho cu,Duong nhua,Tây,Chờ sổ,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Hay hong,Binh thuong,26.63,121,6.4,3,6,1,14.6,16,1,1,1,0,0,5.14
Chương Mỹ,Gan lang nghe,Tho cu + Dat vuon,Duong dat,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,31.46,73,8.9,3,1,1,2.2,23,0,0,1,0,0,1.09
Nam Từ Liêm,Khu dan cu,Full tho cu,Duong be tong,Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,12.12,155,4.6,3,2,2,1.7,5,0,0,1,0,0,21.46
Đan Phượng,Khu dau gia,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,18.38,87,10.8,1,1,1,5.6,1,1,1,0,0,0,8.98
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,3.92,43,6.3,6,1,1,3.2,10,0,0,1,0,0,12.17
Chương Mỹ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,27.15,191,7.5,1,2,3,13.3,18,1,1,0,0,0,4.19
Ứng Hòa,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Chờ sổ,Thap,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,35.89,40,13.7,3,5,4,9.7,12,1,0,1,0,0,0.6
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Đông,Vi bằng,Cao,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Xuong cap nhe,22.95,123,3.5,2,3,3,6.4,17,1,0,1,0,1,9.97
Ba Vì,Mat duong Quoc lo,Tho cu + Dat vuon,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,56.99,90,6.0,1,2,2,15.0,21,1,1,0,0,0,1.59
Ba Vì,Mat duong Quoc lo,Tho cu + Dat vuon,Duong dat,Đông Nam,Vi bằng,Trung binh,Tốt,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,56.48,237,9.3,2,4,2,3.0,10,0,0,1,0,0,3.32
