Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Nam Từ Liêm,14.04,Khu dan cu,Full tho cu,63,3.8,5,10,1,2.4,Duong be tong,0,0,1,Đông Nam,Vi bằng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Xuong cap nhe,29,8.25
Hoài Đức,16.89,Khu dau gia,Tho cu + Dat vuon,77,4.6,4,8,4,11.9,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Cao,Tốt,0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,26,5.91
Quốc Oai,24.29,Gan lang nghe,Tho cu + Dat vuon,62,11.5,2,2,3,12.4,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Cao,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,11,2.28
Thanh Oai,26.98,Khu dan cu,Tho cu + Dat vuon,65,9.8,5,9,2,2.7,Duong be tong,0,0,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,Hay hong,Xuong cap nhe,30,1.78
Ứng Hòa,36.99,Trong lang xom,Full tho cu,116,10.2,2,2,1,11.4,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,Hay hong,Binh thuong,20,3.12
Thạch Thất,28.48,Mat duong Quoc lo,Full tho cu,116,6.7,1,1,2,13.2,Duong nhua,1,1,0,Đông Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,15,11.05
Thanh Trì,12.55,Khu dan cu,Full tho cu,42,8.9,5,1,1,9.1,Duong nhua,1,0,1,Tây Nam,Chờ sổ,Thap,Tốt,0,1,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,11,3.51
Đống Đa,3.96,Khu dan cu dong duc,Full tho cu,40,9.1,4,6,1,7.6,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Xuong cap nhe,20,11.54
Phúc Thọ,30.34,Mat duong Quoc lo,Full tho cu,139,8.5,3,6,6,13.7,Duong nhua,1,1,1,Tây Nam,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,14,6.03
Bắc Từ Liêm,12.5,Khu dan cu,Full tho cu,71,11.5,3,2,2,8.2,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,Hay hong,Binh thuong,18,11.63
Ba Đình,4.12,Khu dan cu dong duc,Full tho cu,84,7.3,3,4,5,6.5,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,Hay hong,Nat/Can dap di,28,21.53
Đông Anh,19.77,Khu dan cu,Tho cu + Dat vuon,31,10.8,5,6,7,13.4,Duong nhua,1,0,1,Đông Nam,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,0,1.58
Thanh Xuân,9.92,Khu dan cu dong duc,Full tho cu,73,11.6,7,4,3,3.0,Duong be tong,0,0,1,Nam,Vi bằng,Cao,Rất tốt (Khu VIP),1,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Xuong cap nhe,17,10.38
Đống Đa,5.16,Khu dan cu dong duc,Full tho cu,69,4.5,8,8,4,1.6,Duong be tong,0,0,1,Tây Bắc,Vi bằng,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,18,16.6
Cầu Giấy,7.54,Khu dan cu dong duc,Full tho cu,20,3.0,4,3,3,12.0,Duong nhua,1,0,1,Bắc,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,1,5.61
Mỹ Đức,48.93,Trong lang xom,Full tho cu,86,11.8,2,4,5,7.8,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,18,1.9
Đông Anh,22.15,Khu dan cu,Full tho cu,108,10.2,1,1,1,12.5,Duong nhua,1,1,0,Đông Nam,Chờ sổ,Thap,Tốt,0,1,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,1,12.21
Thanh Xuân,9.71,Khu dan cu dong duc,Full tho cu,55,10.9,5,1,2,7.5,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,21,14.73
Quốc Oai,33.47,Trong lang xom,Tho cu + Dat vuon,170,5.2,1,1,1,6.1,Duong nhua,1,1,0,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Xuong cap nhe,22,4.81
Cầu Giấy,8.09,Khu dan cu dong duc,Full tho cu,74,11.8,2,3,1,13.9,Duong nhua,1,1,1,Nam,Chờ sổ,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,23,20.14
Phúc Thọ,30.54,Trong lang xom,Full tho cu,76,9.6,1,2,1,12.8,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,30,2.25
Thanh Oai,24.19,Khu dan cu,Full tho cu,30,3.8,2,4,5,2.2,Duong be tong,0,0,1,Tây Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,13,1.45
Thanh Trì,10.51,Khu dau gia,Tho cu + Dat vuon,30,8.9,4,3,1,13.9,Duong nhua,1,0,1,Đông,Vi bằng,Cao,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Nat/Can dap di,19,1.57
Nam Từ Liêm,14.1,Khu dau gia,Full tho cu,49,11.8,2,1,1,4.3,Duong be tong,1,0,1,Đông Nam,Hợp đồng mua bán,Thap,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12,9.26
Tây Hồ,5.97,Khu dan cu dong duc,Full tho cu,49,9.0,6,3,2,12.7,Duong nhua,1,0,1,Tây Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,18,17.5
Mê Linh,31.06,Mat duong Quoc lo,Tho cu + Dat vuon,124,12.6,3,1,1,2.5,Duong dat,0,0,1,Tây Nam,Chờ sổ,Trung binh,Kém (Hay trộm cắp),0,1,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Nat/Can dap di,23,1.79
Ba Vì,46.95,Mat duong Quoc lo,Tho cu + Dat vuon,59,13.2,2,3,2,6.2,Duong nhua,1,1,1,Tây,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Xuong cap nhe,26,1.28
Tây Hồ,4.85,Khu dan cu dong duc,Full tho cu,37,10.7,6,1,1,2.3,Duong be tong,0,0,1,Tây Nam,Hợp đồng mua bán,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,4,10.61
Hai Bà Trưng,3.74,Khu dan cu dong duc,Full tho cu,82,11.8,7,13,2,5.3,Duong nhua,1,1,1,Tây Nam,Chờ sổ,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,15,28.85
Hoàng Mai,5.48,Khu dan cu dong duc,Full tho cu,103,5.6,5,9,4,5.1,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,28,17.12
Long Biên,14.4,Khu dau gia,Tho cu + Dat vuon,82,10.4,1,2,1,14.3,Duong nhua,1,1,0,Bắc,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Xuong cap nhe,25,12.28
Hoàn Kiếm,0.53,Khu dan cu dong duc,Full tho cu,68,3.7,2,2,2,12.4,Duong nhua,1,0,1,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,7,36.25
Chương Mỹ,30.68,Trong lang xom,Full tho cu,40,9.6,1,1,1,2.2,Duong dat,0,0,0,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,11,0.91
Thanh Trì,11.73,Gan KCN,Full tho cu,101,4.3,3,2,1,7.3,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,24,8.65
Long Biên,13.83,Khu dan cu,Full tho cu,60,5.6,2,2,3,10.5,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,8,12.27
Hai Bà Trưng,4.3,Khu dan cu dong duc,Full tho cu,20,10.2,8,16,10,8.7,Duong nhua,1,0,1,Đông Nam,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,6,5.59
Mỹ Đức,45.05,Gan lang nghe,Tho cu + Dat vuon,40,6.6,2,1,2,12.5,Duong nhua,1,0,1,Đông Nam,Vi bằng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,15,0.5
Hoài Đức,17.14,Khu dan cu,Full tho cu,51,7.9,2,2,3,5.8,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,4,5.37
Mê Linh,20.41,Trong lang xom,Tho cu + Dat vuon,211,5.6,3,6,6,12.4,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,13,5.54
Thanh Trì,14.89,Khu dau gia,Full tho cu,87,9.7,4,4,1,8.6,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Nat/Can dap di,27,8.29
Sóc Sơn,28.6,Trong lang xom,Full tho cu,220,7.9,2,1,2,11.2,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,19,7.39
Thanh Trì,10.06,Gan KCN,Tho cu + Dat vuon,55,5.3,4,7,5,3.4,Duong be tong,0,0,1,Tây Nam,Vi bằng,Cao,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,2,2.43
Thanh Oai,29.67,Khu dan cu,Full tho cu,47,6.6,4,5,2,12.1,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,Can sua chua,Nat/Can dap di,25,2.18
Ứng Hòa,36.87,Gan lang nghe,Full tho cu,74,14.0,2,2,1,12.3,Duong nhua,1,1,1,Tây,Chờ sổ,Trung binh,Rất tốt (Khu VIP),1,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,27,1.37
Quốc Oai,26.65,Gan lang nghe,Full tho cu,104,6.7,3,3,4,11.6,Duong nhua,1,1,1,Bắc,Vi bằng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,13,5.63
Phúc Thọ,27.58,Trong lang xom,Tho cu + Dat vuon,125,8.2,2,4,4,9.4,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,15,2.5
Ba Đình,4.61,Khu dan cu dong duc,Full tho cu,29,11.0,7,14,11,14.8,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,29,10.45
Sơn Tây,39.29,Trong lang xom,Full tho cu,77,13.6,1,1,2,9.5,Duong nhua,1,1,0,Tây Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,4,3.06
Đông Anh,20.05,Khu dan cu,Full tho cu,30,10.0,2,1,1,1.6,Duong be tong,0,0,1,Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,5,2.84
Thanh Trì,13.82,Khu dan cu,Full tho cu,66,5.5,2,1,2,9.0,Duong nhua,1,1,1,Tây Bắc,Vi bằng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,16,7.26
Thanh Oai,23.49,Khu dan cu,Full tho cu,100,7.8,5,8,2,2.9,Duong be tong,0,0,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,12,5.16
Hoài Đức,22.94,Khu dan cu,Tho cu + Dat vuon,69,7.2,2,1,2,2.6,Duong be tong,0,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,13,2.26
Sơn Tây,46.15,Trong lang xom,Tho cu + Dat vuon,100,9.2,1,1,1,7.9,Duong nhua,1,1,0,Nam,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Binh thuong,19,2.59
Đống Đa,4.54,Khu dan cu dong duc,Full tho cu,33,9.1,2,3,3,9.5,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,1,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,15,9.37
Đông Anh,13.72,Khu dan cu,Full tho cu,94,5.0,2,1,1,1.5,Duong be tong,0,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,Hay hong,Binh thuong,25,8.85
Thạch Thất,29.49,Gan lang nghe,Full tho cu,119,9.6,1,2,3,4.8,Duong be tong,1,1,0,Tây Bắc,Vi bằng,Trung binh,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,19,5.36
Phúc Thọ,38.7,Gan lang nghe,Tho cu + Dat vuon,111,13.1,3,6,4,11.0,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,23,1.47
Gia Lâm,18.61,Khu dan cu,Full tho cu,107,7.5,5,10,10,14.1,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,29,11.39
Hoài Đức,16.28,Khu dau gia,Full tho cu,93,8.0,5,8,2,13.4,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Binh thuong,22,11.47
Hoàn Kiếm,0.58,Khu dan cu dong duc,Full tho cu,20,7.5,6,3,4,3.6,Duong be tong,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,3,12.65
Phú Xuyên,39.28,Mat duong Quoc lo,Tho cu + Dat vuon,106,5.5,3,3,1,14.2,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Thap,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,4,3.3
Sơn Tây,40.26,Trong lang xom,Full tho cu,140,10.2,3,6,1,10.1,Duong nhua,1,1,1,Tây,Vi bằng,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,21,5.27
Long Biên,11.21,Gan KCN,Tho cu + Dat vuon,44,9.4,5,8,3,5.2,Duong nhua,1,0,1,Nam,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Cơ bản,Hay hong,Xuong cap nhe,25,4.52
Gia Lâm,19.06,Khu dan cu,Full tho cu,30,9.9,1,1,1,12.0,Duong nhua,1,0,0,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Hay hong,Binh thuong,22,2.92
Thanh Oai,24.65,Khu dan cu,Tho cu + Dat vuon,30,5.8,2,4,5,12.6,Duong nhua,1,0,1,Nam,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,8,1.23
Tây Hồ,5.87,Khu dan cu dong duc,Full tho cu,47,11.1,8,8,5,8.6,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,20,21.03
Thạch Thất,39.68,Trong lang xom,Tho cu + Dat vuon,40,6.3,3,5,5,7.4,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,15,1.25
Hai Bà Trưng,2.24,Khu dan cu dong duc,Full tho cu,30,11.7,7,3,1,1.6,Duong be tong,0,0,1,Đông Bắc,Hợp đồng mua bán,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,29,7.54
Chương Mỹ,33.12,Trong lang xom,Tho cu + Dat vuon,68,11.9,3,5,6,11.7,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,5,1.87
Đống Đa,5.84,Khu dan cu dong duc,Full tho cu,80,7.4,5,1,1,12.6,Duong nhua,1,1,1,Tây Nam,Vi bằng,Cao,Rất tốt (Khu VIP),1,1,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,7,17.9
Hà Đông,15.97,Gan KCN,Full tho cu,72,3.3,1,2,1,14.8,Duong nhua,1,0,0,Đông Nam,Hợp đồng mua bán,Thap,Bình thường,1,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Binh thuong,20,5.78
Thường Tín,23.48,Trong lang xom,Tho cu + Dat vuon,106,7.1,2,3,4,2.9,Duong dat,0,0,1,Nam,Vi bằng,Trung binh,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,26,1.59
Đống Đa,4.76,Khu dan cu dong duc,Full tho cu,67,11.2,6,9,7,14.8,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Trung binh,Tốt,1,0,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,13,16.85
Ứng Hòa,37.25,Trong lang xom,Full tho cu,83,8.1,3,5,5,9.0,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Binh thuong,16,2.16
Gia Lâm,19.83,Khu dan cu,Full tho cu,32,9.0,4,6,1,5.9,Duong nhua,1,0,1,Tây,Chờ sổ,Trung binh,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,Hay hong,Binh thuong,20,3.21
